0	-1.38033	
0.128205	0.49893	
0.25641	6.09559	
0.384615	8.19112	
0.512821	6.66723	
0.641026	4.55464	
0.769231	3.12052	
0.897436	2.34634	
1.02564	2.28187	
1.15385	3.09796	
1.28205	4.92593	
1.41026	7.14963	
1.53846	7.31339	
1.66667	2.90046	
1.79487	-5.13603	
1.92308	-10.8887	
2.05128	-8.86356	
2.17949	-3.61059	
2.30769	0.0560433	
2.4359	2.37448	
2.5641	3.35106	
2.69231	3.33011	
2.82051	3.2872	
2.94872	1.64987	
3.07692	-3.09595	
3.20513	-9.50054	
3.33333	-11.5601	
3.46154	-6.51779	
3.58974	-0.983016	
3.71795	3.43786	
3.84615	-2.58203	
3.97436	-14.5652	
4.10256	-19.0261	
4.23077	-20.4966	
4.35897	-19.8445	
4.48718	-17.2212	
4.61538	-12.4538	
4.74359	5.05828	
4.87179	10.3641	
5	10.4793	
