
---------------------------------
STARTING SOLVE:
---------------------------------
num states (in ADMM): 12
num inputs (in ADMM): 4
num constraints per point = 32
constraints list length = 4

Iteration 32 -- objective cost: 128.129 -- feasibility (inf-norm): 6.19632e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 128.129rho1: 51, rho2: 3769.08, rho3: 952.988
Iteration 33 -- objective cost: 128.036 -- feasibility (inf-norm): 6.16981e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 128.036rho1: 51, rho2: 3844.46, rho3: 1000.64
Iteration 34 -- objective cost: 127.945 -- feasibility (inf-norm): 5.94818e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.945rho1: 51, rho2: 3921.35, rho3: 1050.67
Iteration 35 -- objective cost: 127.857 -- feasibility (inf-norm): 5.67595e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.857rho1: 52.02, rho2: 3921.35, rho3: 1050.67
Iteration 36 -- objective cost: 127.773 -- feasibility (inf-norm): 5.44723e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.773rho1: 53.0604, rho2: 3921.35, rho3: 1050.67
Iteration 37 -- objective cost: 127.692 -- feasibility (inf-norm): 5.25811e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.692rho1: 54.1216, rho2: 3921.35, rho3: 1050.67
Iteration 38 -- objective cost: 127.615 -- feasibility (inf-norm): 5.09846e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.615rho1: 55.204, rho2: 3921.35, rho3: 1050.67
Iteration 39 -- objective cost: 127.542 -- feasibility (inf-norm): 4.94817e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.542rho1: 56.3081, rho2: 3921.35, rho3: 1050.67
Iteration 40 -- objective cost: 127.472 -- feasibility (inf-norm): 4.79671e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.472rho1: 57.4343, rho2: 3921.35, rho3: 1050.67
Iteration 41 -- objective cost: 127.404 -- feasibility (inf-norm): 4.64417e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.404rho1: 58.583, rho2: 3921.35, rho3: 1050.67
Iteration 42 -- objective cost: 127.339 -- feasibility (inf-norm): 4.49482e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.339rho1: 59.7546, rho2: 3921.35, rho3: 1050.67
Iteration 43 -- objective cost: 127.277 -- feasibility (inf-norm): 4.35208e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.277rho1: 60.9497, rho2: 3921.35, rho3: 1050.67
Iteration 44 -- objective cost: 127.218 -- feasibility (inf-norm): 4.21687e-06 -- constraint satisfaction (inf-norm): 0-- full objective: 127.218rho1: 62.1687, rho2: 3921.35, rho3: 1050.67
