0	1.07695	1.39955	1.50221	1.86084	
0.263158	2.52641	2.78774	2.26499	2.60491	
0.526316	1.98617	1.78461	1.96677	1.59959	
0.789474	1.39519	1.09723	1.51864	1.22108	
1.05263	1.13523	1.07177	1.01695	1.03114	
1.31579	0.940126	0.997914	1.03603	1.08651	
1.57895	1.0575	1.08578	0.985848	1.04713	
1.84211	1.04572	1.08486	1.10391	1.12219	
2.10526	1.15139	1.16372	1.10718	1.13211	
2.36842	1.16661	1.18888	1.19853	1.21361	
2.63158	1.2498	1.26943	1.21455	1.24233	
2.89474	1.25438	1.29358	1.28398	1.31349	
3.15789	1.31008	1.351	1.26872	1.31095	
3.42105	1.27396	1.31954	1.30972	1.3407	
3.68421	1.32221	1.33382	1.26537	1.26757	
3.94737	1.29781	1.20343	1.41694	1.25785	
4.21053	1.52959	1.17386	1.4106	1.11129	
4.47368	1.26166	0.990344	1.39528	1.16466	
4.73684	0.60132	0.958153	0.594836	0.937802	
5	0.209331	0.617091	0.0955267	0.436692	
