0	1.38206	1.48121	1.68143	1.82851	
0.172414	1.60803	1.67941	1.51025	1.59929	
0.344828	1.6399	1.69485	1.52862	1.49716	
0.517241	1.51731	1.49854	1.61435	1.60547	
0.689655	1.55985	1.50924	1.50612	1.52963	
0.862069	1.50087	1.50565	1.49926	1.46815	
1.03448	1.46069	1.45336	1.47496	1.45641	
1.2069	1.43765	1.41896	1.4349	1.4279	
1.37931	1.40706	1.39482	1.40371	1.39056	
1.55172	1.37438	1.36398	1.37607	1.36143	
1.72414	1.34556	1.33313	1.34617	1.33388	
1.89655	1.31767	1.30535	1.31703	1.30495	
2.06897	1.28988	1.2781	1.2896	1.27731	
2.24138	1.26315	1.25155	1.26302	1.25089	
2.41379	1.23745	1.22632	1.23746	1.2252	
2.58621	1.21304	1.20113	1.21279	1.20165	
2.75862	1.19036	1.17737	1.18872	1.17896	
2.93103	1.16769	1.1584	1.16709	1.15394	
3.10345	1.14452	1.14048	1.14901	1.13103	
3.27586	1.12497	1.1183	1.13108	1.1162	
3.44828	1.11033	1.09767	1.11167	1.10317	
3.62069	1.09737	1.08781	1.09498	1.08363	
3.7931	1.08553	1.08041	1.0831	1.06751	
3.96552	1.07584	1.0552	1.07518	1.07533	
4.13793	1.06927	1.04225	1.07005	1.07676	
4.31034	1.06817	1.10185	1.06603	1.01214	
4.48276	1.07832	1.10253	1.0534	1.00972	
4.65517	1.00099	0.8738	1.1102	1.26104	
4.82759	0.966524	1.00687	0.99217	1.08596	
5	1.0183	1.31605	0.806664	0.710991	
