0	3.03968e-10	-0.683	7.50359e-09	1.77	-7.14354e-10	0.88	-1.57	-3.15648e-09	1.62272e-08	-8.90871e-10	-4.74712e-09	1.40077e-10	5.34209e-10	1.20286e-12	
0.102564	0.00632946	-0.640017	0.0431616	1.81895	-0.124736	0.486611	-1.48647	0.126589	0.859652	0.863233	0.978939	-2.49472	-7.86778	1.67055	
0.205128	-0.00115663	-0.527687	0.255251	1.93525	-0.0976292	-0.372882	-1.33297	-0.276311	1.38696	3.37855	1.34722	3.03686	-9.32209	1.39952	
0.307692	-0.0998749	-0.458229	0.857133	2.02133	-0.0424329	-1.27992	-1.20357	-1.69805	0.00219456	8.6591	0.374334	-1.93293	-8.81868	1.1885	
0.410256	-0.100294	-0.438155	1.52351	2.0106	-0.240191	-1.87241	-1.0856	1.68967	0.399286	4.66851	-0.588935	-2.02223	-3.03106	1.17078	
0.512821	0.16861	-0.331713	1.72727	1.96414	-0.416382	-1.99941	-0.971714	3.68842	1.72955	-0.593338	-0.340351	-1.50159	0.491065	1.10702	
0.615385	0.655871	-0.14879	1.46119	1.97064	-0.551056	-2.02322	-0.869546	6.05679	1.92893	-4.72825	0.470393	-1.1919	-0.967409	0.936334	
0.717949	1.07558	-0.00687351	1.23671	2.02865	-0.727381	-2.02133	-0.766622	2.33733	0.909391	0.238562	0.68973	-2.33459	1.00521	1.12213	
0.820513	1.14534	0.01738	1.52837	2.07869	-0.782075	-1.92229	-0.68126	-0.942105	-0.42432	5.59458	0.311241	1.2407	0.975663	0.58511	
0.923077	1.344	-0.0378431	1.83732	2.094	-0.561899	-1.8916	-0.60546	4.91529	-0.680142	0.584459	-0.00513605	3.16282	-0.361894	0.930893	
1.02564	1.99222	-0.108892	1.73813	2.04283	-0.280471	-1.82246	-0.529243	8.04923	-0.740839	-2.56819	-1.01821	2.46575	1.74481	0.593448	
1.12821	2.5061	-0.207962	1.76703	1.90132	-0.0488251	-1.64378	-0.458773	2.22836	-1.24056	3.14608	-1.81207	2.16717	1.82874	0.81595	
1.23077	2.64821	-0.303654	2.0971	1.70747	0.193747	-1.50287	-0.390651	0.613706	-0.673268	3.45533	-2.06494	2.68427	0.989523	0.546492	
1.33333	2.65438	-0.329003	2.38667	1.48814	0.475462	-1.40904	-0.33217	-0.490306	0.166273	2.33621	-2.32167	2.95002	0.886926	0.623127	
1.4359	2.46086	-0.283742	2.6222	1.22515	0.675417	-1.42093	-0.273416	-3.38004	0.738956	2.37436	-2.938	1.04908	-1.12471	0.551951	
1.53846	2.00582	-0.203376	2.84457	0.900371	0.789527	-1.38817	-0.221579	-5.72075	0.868354	2.07301	-3.55763	1.23313	1.77998	0.484795	
1.64103	1.46159	-0.107766	2.95649	0.525851	0.863691	-1.13121	-0.172834	-5.1638	1.04385	0.165416	-3.93277	0.250136	3.35915	0.490108	
1.74359	0.99658	-0.0161401	2.92517	0.187018	0.790385	-0.805862	-0.118232	-4.13647	0.788672	-0.791967	-2.8439	-1.71625	3.14788	0.601933	
1.84615	0.690622	0.0354531	2.83448	-0.0106672	0.663321	-0.528695	-0.0657962	-1.98269	0.243192	-1.0217	-1.1098	-0.825015	2.39546	0.446775	
1.94872	0.567564	0.0465983	2.71856	-0.0789596	0.590579	-0.337473	-0.0161524	-0.478468	-0.0202877	-1.29682	-0.256048	-0.629839	1.42899	0.546101	
