0	6.72683	45.1412	8.54668	-3.81464	-2.61915	-1.53895	-0.196658	
0.102564	20.7698	77.6685	12.5561	-10.2763	0.585758	-2.38894	1.0231	
0.205128	13.9779	52.5104	24.2612	-12.821	1.30015	-5.01233	0.566276	
0.307692	3.18757	35.8706	17.5581	-11.6889	-1.38362	-5.50595	0.544108	
0.410256	-2.80146	26.3129	-0.867236	-5.43762	-1.38896	-1.11806	0.722305	
0.512821	-7.97297	16.3335	-1.63766	-3.88979	-0.162066	-0.800709	0.476898	
0.615385	-5.37006	6.22676	-3.97393	-14.3418	-1.15971	-2.25679	0.565404	
0.717949	0.377785	-2.76035	3.44681	-18.3261	-0.959317	0.674973	0.459468	
0.820513	6.63017	-5.69033	8.99768	-13.9065	2.32739	-1.39273	0.319932	
0.923077	8.7129	-2.81434	1.08529	-15.0766	1.1464	-2.10655	0.413375	
1.02564	3.27151	-0.775028	2.38201	-22.1983	2.64728	0.14408	0.330275	
1.12821	-8.49648	-3.03781	8.58102	-27.1184	2.41916	-2.36958	0.369856	
1.23077	-10.1342	-5.12613	-0.626052	-24.6443	2.71078	0.221277	0.331372	
1.33333	-11.3101	-5.05764	-3.18699	-23.2393	1.7461	-0.0938344	0.295736	
1.4359	-11.2013	-2.76902	-3.49975	-21.6812	0.554792	0.470594	0.30611	
1.53846	-4.29902	0.290987	-4.67896	-16.1051	1.52997	2.56193	0.216363	
1.64103	-0.26998	1.12416	2.77896	-10.087	-0.0369343	1.94399	0.237501	
1.74359	1.70665	0.483996	2.90706	-3.2149	0.0602878	1.86372	0.261282	
1.84615	1.73357	-0.113837	-0.210597	0.858257	0.0847828	1.1419	0.294588	
1.94872	0.036743	-0.541453	0.144851	2.54922	-0.430344	1.03931	0.228834	
2.05128	-0.659823	-0.659551	-0.970841	3.00988	-0.595796	0.717301	0.278814	
2.15385	-1.083	-0.22231	-0.979384	1.69957	-0.649198	0.627391	0.241956	
2.25641	-0.395909	-0.00151172	-1.4938	0.812007	-0.288815	0.410839	0.294267	
2.35897	8.9947e-05	-0.0809585	-1.12631	0.679709	-0.36038	0.316544	0.260931	
2.46154	0.240906	-0.137418	-1.12414	0.445191	-0.246979	0.183864	0.31007	
2.5641	0.282572	-0.201076	-1.04228	0.329717	-0.338948	0.114812	0.282255	
2.66667	0.303357	-0.260913	-1.05235	0.227082	-0.276319	0.0293782	0.330159	
2.76923	0.285895	-0.357498	-1.01008	0.181982	-0.333759	-0.0459763	0.312492	
2.87179	0.276225	-0.502419	-1.01136	0.194347	-0.298101	-0.106894	0.36145	
2.97436	0.256729	-0.724894	-0.988225	0.257557	-0.330928	-0.190008	0.352745	
3.07692	0.255166	-1.04817	-0.980074	0.42638	-0.309417	-0.226398	0.404984	
3.17949	0.27948	-1.52008	-0.944256	0.761391	-0.312141	-0.329527	0.405369	
3.28205	0.328755	-2.22172	-0.891965	1.3959	-0.288324	-0.313924	0.462287	
3.38462	0.392122	-3.30079	-0.883703	2.47249	-0.285594	-0.499341	0.47038	
3.48718	0.135661	-4.94608	-0.896473	4.60287	-0.38793	-0.545803	0.531096	
3.58974	-0.486306	-7.21165	-1.53306	8.65473	-0.787758	-1.38266	0.552262	
3.69231	-2.77654	-10.4746	-0.37734	15.7021	-0.442369	-2.15177	0.638581	
3.79487	-2.36642	-16.963	3.07474	22.6141	0.640333	-3.0757	0.678689	
3.89744	1.88584	-29.7281	2.60645	24.5061	-0.0472479	-2.43061	0.698776	
4	1.88263	-18.9931	0.25398	11.9828	-0.554811	-0.240945	-0.0585048	
