0	1.03172	1.86763	1.51182	2.1105	
0.263158	2.55705	2.9063	2.20259	2.85219	
0.526316	1.95232	1.34463	2.03918	1.21724	
0.789474	1.23915	0.864709	1.36623	0.926662	
1.05263	0.974679	1.00007	0.772083	0.944978	
1.31579	0.890785	0.940817	1.0162	1.01868	
1.57895	1.09167	1.09369	0.966869	1.0411	
1.84211	1.03764	1.10212	1.16396	1.17767	
2.10526	1.21144	1.22436	1.10487	1.15878	
2.36842	1.14853	1.19611	1.26265	1.27515	
2.63158	1.30834	1.32284	1.19639	1.23865	
2.89474	1.23977	1.28834	1.35011	1.3771	
3.15789	1.39145	1.43618	1.26629	1.31618	
3.42105	1.28305	1.33276	1.40896	1.42932	
3.68421	1.38817	1.44342	1.25478	1.27783	
3.94737	1.26333	1.25065	1.46925	1.39927	
4.21053	1.74902	1.3767	1.55338	1.23229	
4.47368	1.61336	1.09804	1.79321	1.40247	
4.73684	0.424059	0.78945	0.336483	0.651349	
5	0.0293637	0.721717	0.0484892	0.619969	
